project_id,subjects_count,retired_subjects_count,classifications_count,latest activity,14 day avg. activity,Ret. completeness,state,display_name
2495,415,17,256,149,778,4,live,"Wildlife of Los Angeles"
2501,63405,37785,725945,46,553,60,live,"Steller Watch"
2716,3528,57,29862,0,11,2,live,"Steelpan Vibrations"
2730,7477,109,17388,82,96,1,live,"Reading Nature's Library"
2789,123721,0,180805,10114,8233,0,live,"Wildwatch Kenya"
2834,57229,14,75912,289,561,0,live,"Michigan ZoomIN"
2864,74371,9376,266734,901,1139,39,live,"Floating Forests"
3040,13956,8085,125878,6,556,58,live,"AmazonCam Tambopata"
3063,9745,7306,97705,927,913,78,live,"Bash the Bug"
3414,6216,69,2837,283,310,2,live,"African American Civil War Soldiers"
3434,1144,109,12717,159,121,10,live,"Etch a Cell"
3462,33664,4148,142341,231,428,12,live,"SCOTUS Notes: Behind the Scenes at Supreme Court Conference"
3587,79292,70092,572503,134,102,88,live,"Western Montana Wildlife"
3606,21638,4931,53637,990,445,23,live,"Beluga Bits"
3746,46486,22795,596947,184,874,49,live,"Canid Camera"
3757,204855,56811,9359379,43,1092,50,live,"Exoplanet Explorers"
3785,56736,37826,428506,635,908,67,live,"Snapshot Debshan"
3791,4272,3749,49739,5,17,88,live,"Weddell Seal Count"
4264,8859,8172,50964,22,7,83,live,"Grouse Grooves"
4409,4504,2932,48200,360,310,86,live,"eMammal"
4474,112403,53820,280748,10,175,38,live,"Parasite Safari"
4558,6672,286,128778,66,124,4,live,"Solar Stormwatch II"
4682,1018,648,3501,6,3,69,live,"Plant Letters"
4812,48294,6422,37314,280,115,13,live,"Project Plumage"
4846,91438,0,248708,1127,968,0,live,"HumBug"
4949,60144,9864,675356,6377,6041,16,live,"Euclid - Challenge the Machines"
4953,14118,4726,25743,25,26,33,live,"London Bird Records"
4973,4795,3490,49310,29,63,71,live,"Anti-Slavery Manuscripts"
4982,60088,46183,260119,714,933,77,live,"Unearthing Michigan Ecological Data"
4996,42229,4283,177344,1317,1747,10,live,"Snapshot Serengeti"
5042,87619,44719,277115,6,78,23,live,"Scribes of the Cairo Geniza"
5059,57755,8493,653475,659,645,15,live,"Variable Star Zoo"
5083,34609,9038,201893,232,631,26,live,"Calgary Captured"
5086,16038,11831,210440,100,74,74,live,"Manatee Chat "
5103,14811,9289,81052,198,260,63,live,"Battling Birds"
5115,133859,45696,546965,479,805,34,live,"Snapshot Grumeti"
5124,11515,231,30777,361,1085,2,live,"Snapshot Mountain Zebra"
5155,351738,83773,2552805,4839,2494,24,live,"Snapshot Ruaha"
5199,60000,2,8531,2649,1591,0,live,"Science Scribbler"
5240,9878,7276,93217,10,53,74,live,"Invader ID"
5352,15707,14748,45293,0,72,94,live,"Sounds of New York City (SONYC)"
5385,18837,14696,89988,74,56,89,live,"Orangutan Nest Watch"
5438,79447,44871,2147384,646,708,56,live,"Snapshot Hoge Veluwe"
5532,146171,14275,755450,198,373,10,live,"South Sudan DiversityCam"
5551,4960,1346,6737,145,217,27,live,"The American Soldier"
5590,570,374,13911,11,30,66,live,"Galaxy Builder"
5733,75616,37161,521325,3494,4430,31,live,"Galaxy Zoo"
5880,223900,62379,1705455,2774,3444,28,live,"Cedar Creek: Eyes on the Wild"
5918,81906,3638,441061,800,958,4,live,"Muon Hunters 2.0"
6006,13066,932,84944,4,286,8,live,"COSMIC"
6155,39300,19990,182390,1418,2902,51,live,"Snapshot Elephants for Africa"
6163,4650,4320,26352,367,526,93,live,"Nebraska Wildlife Watch "
6203,3266,18,29065,191,959,1,live,"ForestEyes"
6250,9511,137,18336,289,253,10,live,"Monkey Health Explorer"
6263,10033,7588,48218,390,1042,76,live,"Penguin Watch"
6356,29256,363,85171,3,117,1,live,"PELIcams"
6428,7381,5038,17387,334,360,69,live,"Notes from Nature - WeDigFLPlants"
6465,3814,953,70172,58,132,6,live,"Earthquake Detective"
6480,20194,1537,94133,309,987,8,live,"Protect Our Planet From Solar Storms"
6490,43029,14204,787034,5981,5296,49,live,"Galaxy Zoo Mobile"
6615,42387,0,48595,117,343,0,live,"Rodent Little Brother: Secret Lives of Mice"
6767,96000,23410,214122,256,1501,24,live,"SuperWASP Variable Stars"
6966,8294,6333,29130,37,208,45,live,"Measuring the ANZACs"
7009,53009,23710,38951,50,102,63,live,"Criminal Characters"
7045,11018,481,7123,32,36,4,live,"Macdonald Dictionary"
7170,15196,12561,46605,73,327,54,live,"Worlds of Wonder"
7206,15065,9343,213342,3553,4937,62,live,"Galaxy Zoo: Clump Scout"
7264,14999,9144,30446,274,97,61,live,"Notes from Nature - CalBug"
7354,27488,10229,252837,26,308,37,live,"Astro-Ecology"
7485,5793,3463,20091,43,15,60,live,"Lakeside Dark Data"
7521,1825,1587,19853,288,599,45,live,"Eye for Diabetes"
7620,28383,16524,254168,370,731,58,live,"Wildwatch Burrowing Owl"
7653,10630,0,22879,463,323,0,live,"NestCams"
7679,21570,971,104506,415,882,5,live,"Snapshot Karoo"
7828,16480,13675,568409,604,1101,83,live,"Local Group Cluster Search"
7850,164793,7181,202319,2518,2494,5,live,"Chimp&See"
7981,390,48,2829,323,281,12,live,"Zwicky's Quirky Transients"
8143,41791,481,124450,519,828,1,live,"Skink Spotter NZ"
8149,43016,22834,236604,435,1637,53,live,"SquirrelMapper"
8361,13446,3019,11760,882,673,22,live,"Castaway"
8413,34946,22307,269397,138,356,64,live,"Wild Gabon"
8776,20462,546,38954,790,482,3,live,"Snapshot Madikwe"
8778,14960,8889,63076,153,539,59,live,"Measuring Giraffes"
8795,3933,0,7349,3819,3402,0,live,"Hubble Asteroid Hunter"
8898,13548,7465,70362,529,968,55,live,"Nest Quest Go: Chickadee-dee"
8930,4964,133,18363,808,795,3,live,"Año Nuevo Island - Animal Count"
9095,1081,280,10735,261,815,24,live,"Plankton Portal"
9171,3697,15,3945,627,1784,0,live,"Snapshot Camdeboo"
9173,34373,26813,203047,657,4033,51,live,"Snapshot Molopo"
9204,15110,7928,81790,709,580,52,live,"Nest Quest Go: Western Bluebirds"
9244,15467,10427,84000,205,1943,50,live,"Snapshot De Hoop"
9275,14966,3044,22147,681,474,18,live,"Notes from Nature - Plants of Arkansas"
9359,600,426,8292,282,357,71,live,"Etch A Cell - Powerhouse Hunt"
9480,4976,2571,8819,669,212,66,live,"Notes from Nature - Capturing California's Flowers"
9532,14955,5034,19215,835,441,32,live,"Notes From Nature - Southeastern U.S. Biodiversity"
9814,23262,11507,13447,246,280,39,live,"Notes from Nature - NYBG"
9980,5764,2613,3413,362,93,36,live,"Notes From Nature - Herbarium"
10133,5633,1641,9369,1529,2166,50,live,"Notes from Nature - How Weird is That?"
11,6865,6865,41381,0,,100,paused,"Whales as Individuals"
14,7180,7180,26271,0,,100,paused,"Snapshots at Sea"
28,0,0,0,0,,0,paused,"Old Weather"
36,0,0,0,0,,0,paused,"Cyclone Center"
37,0,0,0,0,,0,paused,"Bat Detective"
41,0,0,0,0,,0,paused,"Planet Four"
47,0,0,0,0,,0,paused,"Radio Galaxy Zoo"
48,0,0,0,0,,0,paused,"Operation War Diary"
50,0,0,0,0,,0,paused,"Disk Detective"
52,0,0,0,0,,0,paused,"Condor Watch"
56,0,0,0,0,,0,paused,"Higgs Hunters"
58,0,0,0,0,,0,paused,"Science Gossip"
60,0,0,0,0,,0,paused,"Chimp & See"
73,7418,7418,111311,44,,100,paused,"Galaxy Zoo: 3D"
75,11004,11004,336682,0,,100,paused,"Colorado Corridors Project"
121,0,0,0,0,,0,paused,"Serengeti Wildebeest Count"
153,30360,30360,305777,0,,100,paused,"Jungle Rhythms"
275,9713,9713,117983,0,,100,paused,"Fossil Finder"
347,2240,2240,17726,0,,100,paused,"Season Spotter Questions"
348,1130,1130,21537,0,,100,paused,"Season Spotter Image Marking"
376,0,0,0,0,,0,paused,"Shakespeare's World"
378,1,1,2,0,,100,paused,"Arizona BatWatch"
724,17240,17240,347972,0,,100,paused,"Comet Hunters"
825,0,0,0,0,,0,paused,"Camera CATalogue"
959,29701,29701,323864,0,,100,paused,"Toledo Zoo Wild Shots"
1338,506,506,10502,0,,100,paused,"Poppin' Galaxy"
1380,0,0,0,0,,0,paused,"Emigrant City"
1457,3487,3487,21767,0,,100,paused,"Microscopy Masters"
1506,17713,17713,106611,0,,100,paused,"Mapping Change"
1558,473872,473878,1134850,1,,100,paused,"Notes from Nature"
1793,9759,9759,61216,2,,100,paused,"Focus on Wildlife -- Cleveland Metroparks"
2025,7517,7517,227612,0,,100,paused,"Milky Way Project"
2125,12921,12921,130801,0,,100,paused,"Decoding the Civil War"
2299,2622,2622,68505,0,,100,paused,"Pattern Perception"
2418,3909,3909,35819,0,,100,paused,"Amazo'N'Oil"
2455,0,0,0,0,,0,paused,"Supernova Hunters"
2714,38800,38800,85970,0,,100,paused,"Understanding Animal Faces"
2949,280,280,61360,0,,100,paused,"Hubble's Hot Stars"
2977,8456,8456,131820,0,,100,paused,"Snow Spotter"
2989,14,14,22264,0,,100,paused,"Brain Match"
2990,32424,32424,127555,38,,100,paused,"Chicago Wildlife Watch"
3098,137515,137515,2168875,5,,100,paused,"Muon Hunter"
3219,9480,9480,97362,4,,100,paused,"Planet Four: Ridges"
3393,27333,27333,414219,0,,100,paused,"Galaxy Nurseries"
3525,4985,4985,51895,0,,100,paused,"WildCam Darién"
3767,2376,2376,14658,0,,100,paused,"Mutual Muses"
3812,4989,4989,105394,0,,100,paused,"Snapshot Gondwana"
4041,194,194,4841,0,,100,paused,"Agent NEO"
4107,0,0,0,0,,0,paused,"1961 Census"
4115,106952,106952,5156833,0,,100,paused,"Planet 9"
4124,19129,19129,1763361,44,,100,paused,"Supernova Sighting"
4200,12762,12762,38358,0,,100,paused,"Leaf Targeting"
4405,27363,27363,273856,2,,100,paused,"Decoding Punch Cards"
4836,29206,29206,146838,0,,100,paused,"Roll The Credits"
4852,1307,1307,22433,0,,100,paused,"Wild Wolf Watch"
5006,1000,1000,15187,0,,100,paused,"League of Nations in the Digital Age"
5044,14272,14272,286040,0,,100,paused,"Snapshot Mariri"
5074,208061,208061,2074027,0,,100,paused,"Cheetahs of Central Namibia"
5127,15338,15338,307420,0,,100,paused,"Numbat Discovery"
5142,0,0,0,0,,0,paused,"Identify New Zealand animals"
5483,734,734,7549,0,,100,paused,"Deep Lake Explorer"
5561,26251,26251,190570,0,,100,paused,"Snapshot APNR"
5596,288114,288114,2512139,0,,100,paused,"Space Warps - HSC"
5661,5129,5129,20813,0,,100,paused,"Parochial Archive Project in Rome"
5724,0,0,28877,0,,0,paused,"Interior Least Tern and Piping Plover Predators"
5818,39352,39352,148244,0,,100,paused,"The Wilds' Wildlife Watch"
5856,724,724,8170,0,,100,paused,"Southern Weather Discovery"
5899,865,865,4648,0,,100,paused,"Rainforest Flowers"
6095,3832,3832,11667,0,,100,paused,"Danish Butterflies and Moths 2020 Challenge"
6190,58450,58450,322152,0,,100,paused,"Snapshot Pilanesberg"
6262,1600,1600,48238,0,,100,paused,"The Hunt for Galaxy Clusters"
6634,684,684,6846,0,,100,paused,"Taranaki Mounga "
7174,7868,7868,47435,0,,100,paused,"Hawk Talk"
7859,169853,169853,912256,1,,100,paused,"Weather Rescue"
7929,19890,19890,294160,920,,100,paused,"Planet Hunters TESS"
8112,23189,23189,323420,0,,100,paused,"Heritage Quest"
8266,86186,86186,174605,114,,100,paused,"Science Scribbler: Virus Factory "
8565,4747,4747,36702,0,,100,paused,"Snapshot Kruger"
8676,13301,13301,95000,0,,100,paused,"Snapshot Enonkishu"
8897,4791,4791,36934,0,,100,paused,"Nest Quest Go: American Kestrels"
8900,2523,2523,19380,0,,100,paused,"Nest Quest Go: Warblers"
9006,0,0,0,0,,0,paused,"Davy Notebooks Project"
9172,17776,17776,91663,0,,100,paused,"Snapshot Kgalagadi"
9356,2911,2911,8958,0,,100,paused,"Notes from Nature - Butterflies"
9485,3000,3000,9026,0,,100,paused,"Notes from Nature - Labs"
9907,36173,36173,371120,0,,100,paused,"Planetary Response Network: Hurricane Dorian"
